Default,loan_amnt,int_rate,grade,emp_length,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_pymnt
0,10000,11.71%,B,5 years,16.01,0,0,,6,17800,91.80%,11540.89198
1,6000,11.71%,B,1 year,2.4,0,1,,7,5963,29.70%,2050.14
0,15000,9.91%,B,2 years,29.44,0,0,,8,13707,93.90%,15823.99905
1,15000,14.27%,C,9 years,15.22,0,1,,7,5872,57.60%,0
1,5000,16.77%,D,2 years,13.97,3,0,20,14,4345,59.50%,1609.12
0,4000,11.71%,B,10+ years,5.63,1,0,18,12,6110,37.70%,4486.293519
0,8500,11.71%,B,< 1 year,12.19,0,0,,8,6441,59.10%,10126.08844
0,4375,7.51%,A,7 years,20.34,0,0,,6,11210,86.90%,4899.96
0,31825,7.90%,A,5 years,14.03,0,0,,12,23151,27.40%,34886.91378
0,10000,15.96%,C,2 years,22.83,0,1,68,11,16158,63.60%,12837.21
0,5000,8.90%,A,2 years,11.93,0,0,45,8,2224,29.30%,5715.56
0,7000,15.96%,C,7 years,6.35,0,1,,6,6113,60.50%,8854.510004
0,12400,10.65%,B,10+ years,11.8,0,2,,9,11095,57.20%,14540.67999
0,10800,9.91%,B,2 years,5.5,0,0,,7,2535,13.30%,12159.18687
0,15000,7.90%,A,1 year,8.48,0,0,,7,6704,50.40%,16663.34403
0,6000,12.42%,B,1 year,10.62,0,1,,7,7310,66.50%,7127.722011
0,12500,12.69%,B,1 year,16.04,0,3,,6,10143,50%,14918.74
0,9600,7.51%,A,4 years,6.63,0,0,,6,2896,18.10%,10751.86997
0,12000,7.90%,A,10+ years,16.7,0,0,38,15,8601,21%,13517.36
0,3000,18.25%,D,9 years,17.39,0,0,,8,43936,98.10%,3917.949999
0,4400,16.77%,D,10+ years,20.01,0,0,,7,25237,99%,5629.270001
0,6000,6.03%,A,10+ years,5.34,0,1,,6,3378,32.50%,6065.86
0,14000,9.91%,B,6 years,10,0,1,45,7,2219,13.40%,16241.38
1,5000,8.90%,A,10+ years,16.33,0,0,,17,74351,62.10%,5021.37
0,10000,10.65%,B,6 years,11.47,0,0,,7,7814,52.30%,11726.32
0,10000,6.03%,A,10+ years,12.74,0,1,,11,14019,19.50%,10282.70571
0,11000,6.62%,A,5 years,10.85,0,0,,5,11638,36.40%,12158.61
1,15000,9.91%,B,8 years,9.12,0,2,,9,11845,63.70%,16177.77
0,25600,9.91%,B,9 years,15.71,0,0,,11,26088,62%,29698.51
0,7000,10.65%,B,< 1 year,7.38,0,0,,7,12168,92.90%,8208.410003
1,12000,15.96%,C,4 years,20.88,0,2,,11,15793,90.80%,3521.95
0,12000,9.91%,B,1 year,8.11,0,1,,11,12143,52.10%,13751.14474
1,21000,19.91%,E,7 years,21.58,0,1,,7,19448,97.60%,18319.14
0,16000,19.91%,E,7 years,20.52,0,3,,12,27884,75.10%,20882.09701
0,10000,12.42%,B,< 1 year,18.58,0,0,,5,12874,72.70%,11477.10378
0,10000,10.65%,B,2 years,19.14,0,3,,10,10160,59.10%,10576.43411
0,7100,16.77%,D,1 year,24,0,2,,4,6021,91.20%,9083.530005
0,13000,12.69%,B,< 1 year,13.72,0,0,,17,17080,58.90%,17402.23999
0,17500,17.27%,D,6 years,19.47,0,1,,5,10724,58.90%,13227.10001
0,17675,14.65%,C,< 1 year,16.46,0,2,,6,6661,57.40%,21323.86749
0,8000,16.77%,D,< 1 year,21.64,0,3,,14,6088,66.90%,10273.24
1,10000,10.65%,B,10+ years,21.73,0,1,,7,11170,30.10%,8772.91
0,3500,10.65%,B,7 years,5.39,0,1,,9,6611,45.90%,4104.209999
1,12500,17.27%,D,5 years,13.16,0,0,,7,9844,70.80%,5577.75
0,16425,14.27%,C,4 years,22.71,0,1,,10,15747,83.40%,18174.82881
1,8200,21.28%,F,4 years,12.48,0,3,,6,9012,73.90%,4173.57
0,15000,14.65%,C,2 years,11.88,0,1,,8,19397,79.50%,18565.14804
0,20975,17.58%,D,5 years,18.79,0,0,,13,20657,79.40%,18112.46087
1,6400,16.77%,D,5 years,20.22,0,0,48,9,7159,67.50%,4776.45
0,3000,13.49%,C,1 year,18.11,0,0,41,4,2745,83.20%,3247.889478
0,12000,16.77%,D,3 years,20.57,0,1,,13,11443,97%,15352.47999
0,14400,8.90%,A,< 1 year,14.85,0,0,,12,63864,55%,16460.85
0,12000,14.65%,C,10+ years,16.56,0,2,40,12,17116,78.50%,12699.71201
0,11000,13.49%,C,10+ years,21.82,0,3,74,15,11382,65%,13418.28
0,7250,21.67%,F,< 1 year,24.82,0,2,,9,21706,91.20%,8204.774089
0,15000,7.90%,A,1 year,9.65,0,1,,11,1616,6.70%,15557.68008
0,18000,19.91%,E,10+ years,6.81,0,0,25,10,11745,77.80%,26034.66002
0,35000,17.27%,D,3 years,7.51,0,1,35,11,7334,53.30%,28887.10007
0,10000,14.27%,C,2 years,15.39,0,1,,9,11303,81.30%,10672.89443
0,11800,12.69%,B,6 years,9.86,0,0,,4,8940,74.80%,14249.84001
0,4500,6.03%,A,4 years,4.44,0,0,,7,8630,13.90%,4930.555891
0,7000,12.69%,B,10+ years,11.35,0,2,53,10,7649,82.30%,8453.260001
0,9200,12.42%,B,2 years,19.96,0,3,,8,23299,78.70%,10482.84389
0,14000,17.27%,D,4 years,6.34,0,2,,5,6986,79.40%,18526.94
0,4500,10.65%,B,< 1 year,5.4,0,0,,4,8220,78.30%,4910.673856
0,12000,16.29%,D,9 years,16.85,0,0,,6,22936,96.40%,14688.34153
0,12000,13.49%,C,4 years,21.33,0,1,,11,3419,27.60%,13990.92132
0,12000,10.65%,B,< 1 year,23.94,0,0,,10,20310,78.40%,12780.07239
0,7000,10.65%,B,3 years,5.38,0,0,39,7,6245,78.10%,7689.273614
0,8200,19.42%,E,3 years,2.8,0,2,,5,10392,88.40%,11909.45001
0,10500,12.69%,B,10+ years,20.73,1,2,10,8,5790,51.20%,11233.31941
0,7000,11.71%,B,4 years,21.01,0,0,26,8,9414,52.40%,7933.963623
0,15300,22.06%,F,6 years,20.58,0,2,56,14,26524,89.70%,22411.3
0,20000,11.71%,B,4 years,10.04,0,0,,15,16447,46.30%,15169.30547
1,17500,17.27%,D,7 years,21.31,0,2,,13,20129,86.10%,10037.1
0,3500,6.03%,A,10+ years,2.31,0,0,35,6,3092,13.40%,3834.858171
0,6000,12.69%,B,< 1 year,13.66,1,0,20,6,15102,50%,7172.96
1,6200,9.91%,B,2 years,20.64,0,2,,7,6533,47.70%,2452.22
0,16000,17.58%,D,7 years,15.56,0,0,,8,21166,87.10%,24011.06
0,6000,8.90%,A,8 years,13.17,0,0,,11,5269,36.80%,6858.700001
0,7200,9.91%,B,6 years,6.12,0,0,,7,16627,79.60%,8352.709998
0,9500,8.90%,A,7 years,8.18,0,0,,8,13422,60.50%,10495.82126
1,18825,16.77%,D,10+ years,23.18,0,0,,6,11004,79.70%,18749.25
0,24000,10.65%,B,10+ years,14.8,0,0,,5,24708,55.20%,28143.25001
0,6000,13.49%,C,10+ years,11.58,0,0,,8,15499,83.80%,7328.920002
0,6000,13.49%,C,5 years,15.38,0,1,,6,15191,91.50%,7328.920002
0,2100,12.42%,B,10+ years,19.72,0,1,,12,12183,82.90%,2553.84
0,5500,6.62%,A,8 years,9.69,0,0,,7,14136,21.90%,6079.289999
0,11000,6.62%,A,8 years,20.5,0,0,,7,10677,58.70%,12158.61
0,26800,20.89%,F,3 years,12.15,0,0,,13,14772,48%,32895.86293
0,8000,12.69%,B,5 years,10.05,0,0,,7,6842,97.70%,9000.143229
1,10000,18.25%,D,1 year,24.14,0,0,77,9,22828,96.30%,11730.6
0,8000,11.71%,B,9 years,9.7,0,0,,7,6142,46.50%,9435.85818
0,10000,8.90%,A,6 years,7,0,0,28,6,6734,49.50%,10869.33055
0,12000,11.71%,B,2 years,13.32,0,0,74,17,32711,54.10%,14183.43257
0,10000,7.90%,A,1 year,25.26,0,0,,8,8215,37.20%,11264.48
0,12000,9.91%,B,1 year,16.44,0,1,,11,14335,29.30%,13921.18
1,25000,13.49%,C,10+ years,14.15,0,0,28,6,15319,91.20%,23880.65
1,19750,10.65%,B,4 years,22.8,0,0,56,12,16576,54.20%,11930.65
0,10000,9.91%,B,3 years,14.81,0,0,,13,5540,27%,10904.83903
0,13650,12.42%,B,4 years,24.09,0,0,74,11,8933,56.50%,16012.11212
1,28000,19.91%,E,10+ years,20.7,0,0,,10,29178,87.60%,12173.07
0,18000,7.90%,A,10+ years,27.55,0,0,,7,17381,76.60%,20276.0603
0,2500,14.27%,C,7 years,10.33,0,1,52,7,9868,37.70%,2529.902083
0,21000,20.30%,E,10+ years,23.21,0,2,,17,12508,70.70%,27097.72185
0,35000,8.90%,A,6 years,22.71,0,0,,8,9051,34.80%,40009.00999
0,10000,7.51%,A,3 years,9.75,0,1,,9,68,0.60%,11028.3575
0,7000,12.69%,B,< 1 year,15.8,0,2,,7,15455,47.60%,8453.250717
1,24000,15.96%,C,8 years,9.17,0,1,,9,30952,71.20%,5895.68
0,10625,7.51%,A,5 years,18.89,0,1,,9,7114,43.40%,11843.01164
0,5000,14.65%,C,2 years,18.3,0,2,24,5,2429,33.30%,5682.99014
0,8850,6.62%,A,10+ years,17.71,0,0,,7,9466,35.90%,9782.190001
0,6375,7.51%,A,4 years,4.8,0,0,,7,6324,58%,6737.872873
0,6000,11.71%,B,1 year,2.97,1,0,16,10,8489,56.60%,7041.911592
1,11100,6.62%,A,10+ years,29.85,0,1,,8,17518,62.30%,8120.14
0,10000,12.69%,B,2 years,10.82,0,1,,11,10081,31.20%,12739.07
0,6200,6.03%,A,5 years,18.2,0,0,,6,2982,16%,6793.18285
0,15000,18.64%,E,1 year,19.69,0,2,,9,15183,90.30%,19405.30244
0,4200,11.71%,B,2 years,16.91,0,0,60,15,8336,79.70%,5001.080367
0,14000,14.27%,C,4 years,7.36,0,1,,9,13378,70.80%,14488.26632
0,8875,7.51%,A,1 year,23.53,0,1,,13,19056,62.10%,9713.561012
0,13500,9.91%,B,7 years,12.38,0,1,,3,16023,67.30%,15659.00546
1,12000,9.91%,B,2 years,7.83,0,2,,8,9749,65.40%,11234.49
0,16000,19.91%,E,4 years,15.8,0,0,54,8,7743,72.40%,22286.22034
0,21600,19.42%,E,8 years,16.74,1,0,23,6,13354,78.10%,27586.78141
0,6000,10.65%,B,6 years,12.86,2,0,9,12,11739,40.50%,7000.232528
0,8450,16.77%,D,5 years,22.51,0,2,,6,17614,83.50%,12206.22001
0,20000,13.49%,C,1 year,17.68,0,0,,13,26693,61.40%,26403.41
1,10000,11.71%,B,8 years,22.08,0,0,,8,5626,29.30%,6002.23
0,12000,16.29%,D,5 years,18.18,0,0,,8,29609,97.20%,14949.9047
1,13475,13.49%,C,10+ years,21.89,0,1,,7,9943,65.80%,6198.89
0,7200,12.42%,B,5 years,17.43,0,1,,7,16450,80.20%,8677.64414
1,5600,14.65%,C,1 year,12.24,1,3,11,8,6812,90.80%,1350.86
0,12000,14.27%,C,< 1 year,10.86,0,1,,7,9273,81.50%,14401.59573
0,8500,6.03%,A,2 years,1.73,0,0,,6,2463,28%,9074.821136
0,8000,9.91%,B,2 years,18.28,0,0,,6,7434,78.50%,9280.79
0,8000,12.42%,B,10+ years,15,0,0,,10,18601,88.20%,9623.539087
0,16000,15.27%,C,10+ years,17.44,0,1,,4,12830,92.30%,22394.08
0,15000,17.27%,D,2 years,3.59,1,0,18,6,4582,91.60%,17994.71325
0,10000,9.91%,B,2 years,11.24,0,1,,8,9152,66.80%,11387.44049
0,10000,6.62%,A,5 years,16.78,0,0,,9,10770,69%,10903.4743
0,8000,14.65%,C,3 years,12.6,0,1,,8,6187,54.30%,8637.015205
0,22000,9.91%,B,2 years,13.22,0,4,,17,21470,49.80%,25523.44999
0,6000,14.27%,C,10+ years,24.53,0,1,,13,71890,95.90%,7217.547545
0,16000,9.91%,B,10+ years,9.39,0,1,,6,13270,28.50%,20209.06
1,2500,7.51%,A,n/a,16.3,0,2,,13,4853,42.20%,1838.88
0,13500,9.91%,B,2 years,22.93,0,1,,13,25011,67.20%,15622.37656
0,25000,12.42%,B,2 years,8.32,1,0,13,11,30449,34.60%,30073.68
0,10000,13.49%,C,2 years,24.97,0,2,45,10,8936,48.30%,12177.62544
0,2500,13.49%,C,4 years,6.44,0,0,,6,3473,68.10%,3053.71
0,7325,12.69%,B,1 year,22.57,0,3,65,12,7281,65%,8845.75
0,4000,12.42%,B,5 years,12.12,0,3,,11,29311,85.70%,4337.425225
1,10000,13.49%,C,5 years,6.92,1,2,19,12,14292,69.50%,9270.84
1,7750,17.27%,D,< 1 year,16.1,0,1,41,4,2348,67.10%,6934
1,20000,20.89%,F,6 years,16.63,0,1,,10,10470,79.90%,5425.96
0,9600,12.42%,B,10+ years,11.65,0,0,,6,11279,70.90%,11338.81668
1,21000,11.71%,B,3 years,6.62,0,0,,7,10543,79.90%,3708.24
0,14000,10.65%,B,3 years,15.52,0,0,,7,15542,65.60%,15200.41047
0,13350,12.42%,B,10+ years,20.57,0,0,,7,11531,95.30%,16059.37
1,15000,16.77%,D,10+ years,19.63,0,2,,10,8238,74.90%,13373.77
1,15000,17.27%,D,8 years,16.03,0,0,48,10,13505,75.90%,10198.4
0,11000,13.49%,C,10+ years,10.94,0,0,80,10,1735,24.10%,15121.77002
0,35000,10.65%,B,2 years,3.17,1,1,22,16,1099,1.40%,38061.50488
0,9000,10.65%,B,9 years,8.89,0,0,,7,7388,71.70%,10553.74
0,22475,15.27%,C,7 years,15.23,0,1,,7,18554,61.80%,32080.69004
1,16000,12.69%,B,1 year,20.64,0,0,,8,26224,89.30%,12295.72
0,13500,12.69%,B,5 years,11.97,0,2,,4,6681,77.70%,16302.76
0,24000,12.69%,B,10+ years,11.6,0,0,,10,21609,84.60%,28982.71001
0,12000,10.65%,B,5 years,10.84,0,1,,12,11849,48.80%,14071.63
0,8400,16.77%,D,5 years,11.35,0,0,,8,9551,80.30%,12290.64001
0,28000,17.58%,D,5 years,12.07,0,1,,13,2686,13.40%,28411.15
0,14000,6.62%,A,10+ years,11.15,0,1,,7,12095,35.40%,15451.16044
1,12000,14.27%,C,8 years,8.4,0,1,,7,11546,86.20%,4241.16
0,25000,11.71%,B,10+ years,6.88,0,1,,8,21128,89.10%,29279.4541
0,9000,12.69%,B,5 years,17.81,0,1,,13,12752,55.40%,10868.48
0,13250,10.65%,B,4 years,24.93,0,2,,11,13392,58.70%,15537.4
0,20000,13.49%,C,6 years,22.38,0,1,,7,19548,90.80%,23865.33884
0,3000,14.65%,C,5 years,21.84,0,1,59,4,15072,88.70%,3725.309999
0,7350,10.65%,B,10+ years,11.93,0,0,,5,15587,77.50%,8618.839995
0,11500,15.27%,C,5 years,21.1,0,1,54,7,8969,76.70%,14406.18999
1,13650,12.42%,B,10+ years,12.29,0,1,,12,16140,73.40%,8203.29
1,10500,16.29%,D,3 years,15,0,1,,7,5379,55.50%,2222.16
0,12000,9.91%,B,2 years,15.5,0,0,,7,12168,85.70%,13921.18
0,6000,8.90%,A,3 years,14.51,0,2,,9,13683,64.80%,6858.700002
0,11500,15.27%,C,10+ years,21.69,0,1,,9,13147,90%,13605.53078
0,7000,12.42%,B,7 years,12,0,1,79,6,25334,71.60%,8293.148925
0,29500,20.30%,E,6 years,20.93,0,0,,12,22087,89.80%,45755.22998
0,2000,15.27%,C,2 years,17.74,0,1,,7,18115,96.40%,2520.401456
0,11625,13.49%,C,< 1 year,19.33,0,1,,17,19979,84.70%,14199.83
1,15075,14.27%,C,10+ years,20.16,0,1,,7,10570,89.60%,15502.77
0,5300,15.27%,C,1 year,24.88,0,2,,11,7855,82.70%,6627.889998
0,8200,6.62%,A,< 1 year,11.1,0,1,,7,2573,25.50%,9063.720001
0,12000,12.42%,B,9 years,13.98,0,1,65,10,11243,75%,14435.34999
0,8650,14.27%,C,4 years,7.6,0,2,44,14,6602,58.90%,10683.73
0,21000,17.27%,D,10+ years,7.75,0,0,,9,25435,50.30%,17607.96003
0,16000,17.27%,D,2 years,11.04,0,0,64,10,15788,42.20%,21583.04
0,12000,12.42%,B,2 years,11.81,0,2,52,14,16550,51.10%,14435.35
1,9500,12.69%,B,< 1 year,23.54,0,2,,14,23729,75.30%,7002.16
0,7400,13.49%,C,< 1 year,8.45,0,0,,5,5199,92.80%,9039.034417
0,14400,13.49%,C,10+ years,16.92,0,1,57,15,23317,65%,15454.59422
0,24250,23.91%,G,7 years,12.96,0,3,,7,31992,99%,22206.82132
1,7200,7.90%,A,3 years,7.98,0,0,,5,8783,82.90%,7730.87
1,26000,16.77%,D,10+ years,11.77,0,1,,5,7560,72.70%,9622.45
1,7000,11.71%,B,6 years,26.22,0,0,,10,45449,90.90%,6126.24
0,4000,7.51%,A,< 1 year,18.17,0,0,,10,10032,50.70%,4182.637561
0,1500,17.27%,D,10+ years,8.23,1,0,14,6,14186,97.80%,1521.6
0,19600,12.42%,B,2 years,11.62,0,0,,8,20355,50.10%,21996.45731
0,2500,11.71%,B,7 years,18.7,0,0,63,5,2668,66.70%,2896.888187
1,10000,12.69%,B,2 years,2.69,0,0,,5,6035,70.20%,6351.59
0,10000,6.62%,A,5 years,26.85,0,0,,15,10133,70.40%,11053.31
0,4225,12.42%,B,5 years,17.61,0,1,,6,4055,73.70%,5082.460001
0,3500,7.90%,A,7 years,6.46,1,0,9,6,15472,55.50%,3942.557993
0,12000,6.62%,A,10+ years,13.65,0,0,,7,9873,80.30%,13263.96
0,16500,8.90%,A,< 1 year,9.06,0,1,,6,13917,38.80%,18858.32
0,22000,21.67%,F,< 1 year,15.62,0,1,,9,20154,79.40%,25029.21535
0,12000,14.65%,C,1 year,14.87,0,2,,15,17972,71%,12430.41857
1,15600,12.69%,B,10+ years,5.78,0,1,,8,8079,35.70%,16919.04
0,10800,12.42%,B,8 years,12.12,0,0,,14,18467,74.50%,13007.71999
0,14000,12.42%,B,10+ years,7.35,0,0,,5,17212,97.80%,16793.82458
0,18825,17.58%,D,4 years,24.98,0,0,65,9,14092,93.20%,25540.64
0,6000,13.49%,C,5 years,15.58,0,1,49,8,7361,83.60%,7328.920002
0,12000,9.91%,B,5 years,14.83,0,0,,11,17536,67.70%,13909.61999
0,10000,12.42%,B,4 years,10.45,0,0,,14,10177,51.60%,12029.45
0,8000,7.90%,A,2 years,6.09,0,1,,16,15988,55.90%,8847.221069
0,14125,9.91%,B,1 year,23.13,0,3,,12,19472,66%,16058.32565
0,14000,12.69%,B,5 years,19.24,0,1,,10,13579,64.50%,16902.98001
0,13200,17.27%,D,3 years,9.64,0,3,,8,7411,50.10%,10202.58059
0,4000,19.03%,E,10+ years,20.59,1,2,15,30,6654,22.60%,4341.504299
1,4000,12.69%,B,2 years,6.86,0,3,,5,8546,79.70%,2022.66
0,10500,6.03%,A,10+ years,10.36,0,0,,8,10729,18.70%,11504.35
0,5500,7.90%,A,10+ years,6.65,0,0,35,10,9130,43.30%,6172.07856
0,7350,11.71%,B,1 year,22.51,0,1,,13,24782,77.90%,8728.625013
1,10000,12.42%,B,10+ years,18.31,0,1,,7,11691,90.60%,11604.88
0,12000,7.51%,A,10+ years,10.74,0,1,,7,18913,43%,13459.56667
0,5000,11.71%,B,5 years,23.78,0,0,,12,10023,57.30%,6534.43
0,8000,11.71%,B,3 years,16.22,0,3,,13,2751,34.40%,8306.628279
0,4500,8.90%,A,10+ years,23.43,0,0,,10,9127,24.40%,5051.236671
0,18000,12.42%,B,1 year,12.51,0,2,,9,14810,66.10%,21634.66001
0,12300,13.49%,C,2 years,12.76,0,1,,8,10981,55.50%,15254.36
0,12000,13.49%,C,6 years,15.72,0,0,77,8,10790,80.50%,12762.81967
0,10000,13.49%,C,10+ years,5.88,1,2,13,5,8899,47.60%,12082.61063
0,6000,7.90%,A,7 years,8.87,0,4,,8,19071,30.30%,6633.907565
0,12000,12.69%,B,4 years,22.2,0,1,,9,16273,55.50%,14010.27472
1,12000,8.90%,A,7 years,9.13,0,0,,8,13088,83.50%,10411.4
0,7000,11.71%,B,2 years,15.57,0,0,,7,22196,94.10%,8335.090002
0,35000,18.64%,E,8 years,12,0,1,,16,31071,53%,28062.23874
0,1400,7.90%,A,1 year,10,0,1,,5,2016,9.90%,1478.900477
1,16000,13.49%,C,10+ years,16.22,0,1,,6,19184,58.50%,10343.32
0,3200,9.91%,B,9 years,2.16,0,0,,5,2795,33.30%,3711.14
0,8000,7.90%,A,1 year,13.35,0,0,,4,2440,34.40%,8987.222603
1,11875,12.69%,B,< 1 year,23.75,0,0,,8,13932,94.10%,1185.35
0,5000,6.03%,A,9 years,3.82,0,0,,6,1779,4%,5411.159335
0,1800,6.62%,A,10+ years,23.8,0,0,,5,1792,39.80%,1880.260813
0,35000,8.90%,A,5 years,17.73,0,0,,7,16720,61.50%,37305.86111
0,18000,8.90%,A,5 years,7,0,1,,6,17769,66.30%,19886.52562
1,14000,7.90%,A,10+ years,19.74,0,0,,5,15846,63.90%,6130.32
0,5000,12.42%,B,2 years,20.06,0,1,,14,13543,54.20%,5501.552292
0,8000,15.96%,C,4 years,14.04,0,2,,10,24072,91.90%,9998.939479
0,10000,6.03%,A,9 years,12.99,0,0,,7,27644,45.20%,10840.60453
0,10000,7.51%,A,5 years,4.63,0,2,,8,6592,25.70%,11021.30568
0,12000,12.42%,B,10+ years,18.51,0,0,,10,8198,75.70%,14435.35
0,23200,7.90%,A,3 years,27.99,0,0,,10,36381,47%,24554.56476
0,18000,15.27%,C,1 year,11.41,0,3,,11,22542,83.20%,23215.84
0,4800,15.27%,C,10+ years,9.3,0,1,,13,22195,73.70%,6013.039997
0,7300,11.71%,B,6 years,16.42,0,1,,10,9628,44.60%,8657.784357
0,10400,9.91%,B,6 years,11.67,0,2,,7,11624,80.60%,12024.29035
0,6600,9.91%,B,1 year,15.53,0,2,,10,2171,27.80%,7276.236207
0,12000,8.90%,A,7 years,9.45,0,0,73,12,13756,37.40%,13717.39
0,13250,17.27%,D,10+ years,23.7,0,0,70,8,15002,91.50%,15655.20629
0,12000,11.71%,B,3 years,15.97,0,2,,11,9558,56.20%,14288.77
0,25000,9.91%,B,9 years,10.35,0,0,,5,23712,49.40%,29002.42
0,6000,10.65%,B,10+ years,14.43,0,1,29,5,13626,48.50%,7035.820001
0,12000,7.51%,A,10+ years,7.08,0,1,,7,15433,55.60%,12554.81702
0,14400,11.71%,B,1 year,16.35,0,1,,10,19983,48.40%,15544.00676
0,10000,12.42%,B,10+ years,11.58,0,0,51,13,13034,65.50%,12029.45
0,8000,11.71%,B,1 year,2.48,1,0,5,5,9722,56.20%,9525.87
1,8000,16.29%,D,5 years,13.22,0,0,,9,5106,72.90%,4533.54
1,30000,12.42%,B,3 years,0.94,0,0,,7,1159,3.20%,17179.15
1,18000,16.77%,D,6 years,18.42,0,3,,7,11147,73.40%,11229.37
0,13250,11.71%,B,2 years,22.35,0,1,,16,10014,67.20%,15777.22001
0,14000,14.27%,C,6 years,16.21,0,0,,8,11546,96.20%,17291.65001
1,20000,20.30%,E,10+ years,20.91,0,2,,16,32137,83.10%,16063.42
0,10000,16.29%,D,10+ years,24.39,0,1,,7,11665,96.40%,12458.62318
0,35000,20.30%,E,5 years,20.16,0,0,,11,31306,74.50%,36105.41996
0,4000,6.03%,A,1 year,7.05,0,0,,7,2189,43.80%,4355.672911
0,13000,9.91%,B,6 years,8.38,0,0,,8,9599,81.30%,14960.06316
0,28000,12.69%,B,5 years,12.35,0,0,,7,5739,67.50%,33813.15999
0,10000,13.49%,C,3 years,11.52,0,0,,9,16462,79.10%,11254.78061
0,20000,7.90%,A,< 1 year,9.25,0,1,,8,14386,74.90%,22528.97
0,18000,9.91%,B,5 years,10,0,1,,8,12371,62.50%,19207.36256
1,9000,19.91%,E,3 years,22.56,0,1,,17,21321,91.10%,5227.64
1,25000,18.64%,E,10+ years,12.6,1,0,22,11,24278,60.80%,25775.38
0,10000,11.71%,B,3 years,8.69,0,0,,6,6621,88.30%,11841.29287
0,4200,6.03%,A,3 years,8.92,0,0,,7,4228,12.90%,4601.849929
1,20000,15.27%,C,10+ years,10.79,0,1,,8,25161,80.30%,5797.78
1,18000,17.27%,D,1 year,7.82,0,2,61,8,11273,86.70%,20808.83
0,24000,16.29%,D,2 years,8.83,1,1,13,7,16318,69.40%,30499.52001
0,4475,15.27%,C,3 years,18.79,0,2,,17,4489,33.50%,5605.910002
0,20000,14.65%,C,2 years,12.15,0,1,,9,19348,59.90%,25492.96
0,12000,12.42%,B,5 years,22.49,0,0,,12,18682,80.80%,14435.34999
0,18000,17.58%,D,n/a,21.96,0,1,75,11,5945,83.70%,26378.55001
1,5000,12.42%,B,2 years,23.84,0,2,,8,7980,89.70%,833.7
0,3000,6.03%,A,5 years,5.5,0,0,,7,9616,29.40%,3207.90304
0,25000,19.03%,E,10+ years,19.63,0,2,,9,24150,91.50%,34346.8
0,18000,19.03%,E,3 years,11.32,0,1,,10,13371,85.20%,25195.58
1,12000,9.91%,B,10+ years,13,0,0,,10,11774,75.50%,5851.68
0,20000,15.27%,C,10+ years,4.34,0,1,28,6,6855,52.70%,25054.29
0,10000,13.49%,C,3 years,13.87,0,0,55,8,6046,68.70%,12159.18267
0,15000,12.42%,B,6 years,17.85,0,0,,14,68319,74.90%,17717.13342
0,12000,7.90%,A,< 1 year,8.71,0,0,,10,18125,57.70%,13449.50075
0,20000,10.65%,B,2 years,5.23,0,0,,12,16008,34.10%,15647.76
0,6300,11.71%,B,2 years,7.2,0,1,38,6,6274,84.30%,7501.630002
0,20000,16.77%,D,7 years,22.82,0,1,,12,16565,56.70%,26684.98
0,35000,17.27%,D,8 years,7.94,0,0,24,11,3761,23.50%,26016.92242
0,8250,15.96%,C,2 years,15.6,2,1,2,13,4479,7.70%,10439.29849
